Mapname,C
last_location
Who is creating the Map,can I
GPS_LAT,37.422000885009766
GPS_LONG,-122.08401489257812
calling number,999999999
call duration,16.0
Time-based Trigger,1
Distance-based Trigger,0
X,Y,Timestamp
4.0057,0.2543,2021-03-14 19:39:28.433121
4.2223,-0.4384,19:39:29
4.0542,-1.1299,19:39:30
3.4827,-1.4593,19:39:31
3.0883,-2.0453,19:39:32
2.8628,-2.6409,19:39:33
3.104,-3.0065,19:39:34
3.5718,-2.6656,19:39:35
4.275,-2.5299,19:39:36
5.005,-2.3947,19:39:37
5.5288,-2.651,19:39:38
4.8506,-2.5656,19:39:39
4.1502,-2.4951,19:39:40
3.2763,-2.2936,19:39:41
2.5203,-1.83,19:39:42
1.7625,-1.5341,19:39:43
1.9049,-0.9766,19:39:44
2.3945,-0.5463,19:39:45
2.2571,0.2205,19:39:46
1.441,0.4116,19:39:47
0.4318,0.337,19:39:48
-0.2141,0.3392,19:39:49
-0.4754,0.2758,19:39:50
0.0442,0.0442,19:39:51
0.2249,0.0586,19:39:52
0.7791,0.1356,19:39:53
1.4096,0.2612,19:39:54
2.0736,0.309,19:39:55
2.4348,-0.1412,19:39:56
2.6787,-0.6639,19:39:57
2.8512,-1.2338,19:39:58
3.3058,-1.3926,19:40:00
3.8499,-1.2854,19:40:01
4.4288,-1.0624,19:40:02
4.993,-0.803,19:40:03
4.6127,-0.6811,19:40:04
4.1995,-0.3119,19:40:05
3.9509,0.186,19:40:06
3.8224,0.8176,19:40:07
4.037,1.3537,19:40:08
4.5614,1.42,19:40:09
4.3445,1.041,19:40:10
3.9974,0.5025,19:40:11
4.1601,-0.1956,19:40:12
4.1953,-0.8822,19:40:13
3.738,-1.3162,19:40:14
3.2179,-1.801,19:40:15
2.9542,-2.4164,19:40:16
2.8984,-2.9621,19:40:17
3.3463,-2.7917,19:40:18
3.9775,-2.5573,19:40:19
4.7176,-2.4505,19:40:20
5.4632,-2.4747,19:40:21
5.1417,-2.7161,19:40:22
4.3995,-2.5009,19:40:23
3.5674,-2.4202,19:40:24
2.827,-2.0195,19:40:25
2.0224,-1.6668,19:40:26
1.7337,-1.2016,19:40:27
2.2334,-0.7767,19:40:28
2.4368,-0.0453,19:40:29
1.7728,0.4092,19:40:30
0.8218,0.3586,19:40:31
-0.0428,0.3256,19:40:32
-0.4269,0.2988,19:40:33
-0.4924,0.2583,19:40:34
0.0892,0.079,19:40:35
0.5429,0.0813,19:40:36
1.1764,0.198,19:40:37
1.8587,0.3428,19:40:38
2.4051,0.061,19:40:39
2.5634,-0.4372,19:40:40
2.7764,-1.0451,19:40:41
3.123,-1.4605,19:40:42
3.6066,-1.3057,19:40:43
4.1951,-1.1628,19:40:44
4.8211,-0.9456,19:40:45
4.8039,-0.6318,19:40:46
4.3811,-0.5139,19:40:47
4.0242,-0.0297,19:40:48
3.8792,0.5352,19:40:49
3.8608,1.1489,19:40:50
4.3547,1.4814,19:40:51
4.5721,1.159,19:40:52
4.06,0.7916,19:40:53
4.0505,0.1176,19:40:54
4.2397,-0.5801,19:40:55
3.9466,-1.2152,19:40:57
3.3761,-1.5766,19:40:58
3.0499,-2.1595,19:40:59
2.8346,-2.775,19:41:00
3.2224,-2.9341,19:41:01
3.675,-2.6299,19:41:02
4.3961,-2.5157,19:41:03
5.205,-2.3839,19:41:04
5.4374,-2.7479,19:41:05
4.6843,-2.5068,19:41:06
3.9253,-2.49,19:41:07
3.1369,-2.2156,19:41:08
2.3532,-1.7581,19:41:09
1.7195,-1.454,19:41:10
1.9884,-0.9312,19:41:11
2.4496,-0.3995,19:41:12
2.1375,0.3049,19:41:13
1.2557,0.3916,19:41:14
0.3007,0.3318,19:41:15
-0.2978,0.3296,19:41:16
-0.4782,0.2804,19:41:17
0.0536,0.0503,19:41:18
0.3366,0.0544,19:41:19
0.9459,0.1633,19:41:20
1.5821,0.318,19:41:21
2.2302,0.2371,19:41:22
2.4601,-0.2387,19:41:23
2.7079,-0.7864,19:41:24
2.9182,-1.3454,19:41:25
3.4057,-1.3341,19:41:26
3.9551,-1.2565,19:41:27
4.5759,-1.0193,19:41:28
4.9885,-0.686,19:41:29
4.5453,-0.648,19:41:30
4.1494,-0.2472,19:41:31
3.9158,0.3225,19:41:32
3.8081,0.9269,19:41:33
4.1237,1.4168,19:41:34
4.6227,1.3408,19:41:35
4.2192,0.9821,19:41:36
3.9956,0.3567,19:41:37
4.1867,-0.2846,19:41:38
4.1315,-1.0343,19:41:39
3.6131,-1.3701,19:41:40
3.1462,-1.9062,19:41:41
2.8904,-2.5638,19:41:42
2.9969,-3.0061,19:41:43
3.4697,-2.7199,19:41:44
4.1018,-2.5427,19:41:45
4.8699,-2.4204,19:41:46
5.5273,-2.5533,19:41:47
4.9747,-2.6329,19:41:48
4.3023,-2.4905,19:41:49
3.4652,-2.3823,19:41:50
2.6587,-1.904,19:41:51
1.8984,-1.6236,19:41:52
1.81,-1.0623,19:41:53
2.3001,-0.6953,19:41:54
2.373,0.0981,19:41:55
1.6393,0.4238,19:41:56
0.6876,0.3565,19:41:58
-0.1111,0.3311,19:41:59
-0.4514,0.287,19:42:00
0.043,0.044,19:42:01
