Mapname,Chrisroom
last_location
Who is creating the Map,Chris
GPS_LAT,10.348954200744629
GPS_LONG,76.22249603271484
calling number,1122334455
call duration,1.0
Time-based Trigger,1
Distance-based Trigger,0
X,Y,Timestamp
-0.0003,-0.0,19:49:45
-0.0002,-0.0,19:49:46
-0.0001,-0.0002,19:49:47
-0.0001,0.0001,19:49:48
-0.0,0.0001,19:49:49
-0.0002,0.0,19:49:50
-0.0003,-0.0,19:49:51
-0.0002,-0.0001,19:49:52
-0.0003,-0.0,19:49:53
-0.0003,0.0,19:49:54
-0.0004,-0.0,19:49:55
-0.0003,0.0,19:49:56
-0.0001,-0.0001,19:49:57
-0.0001,-0.0,19:49:58
-0.0002,-0.0001,19:49:59
-0.0002,-0.0,19:50:00
-0.0001,-0.0,19:50:01
-0.0002,-0.0001,19:50:02
-0.0002,0.0,19:50:03
-0.0002,-0.0,19:50:04
-0.0003,0.0,19:50:05
-0.0003,0.0,19:50:06
-0.0001,-0.0001,19:50:07
-0.0,-0.0001,19:50:08
