Mapname,Chrisroomdistances
last_location
Who is creating the Map,Chris
GPS_LAT,0.0
GPS_LONG,0.0
calling number,1122334455
call duration,1.0
Time-based Trigger,1
Distance-based Trigger,0
X,Y,Timestamp
0.0001,0.0001,05:56:12
-0.0002,-0.0001,05:56:13
-0.0,-0.0001,05:56:15
-0.0002,0.0002,05:56:16
0.0002,0.0001,05:56:17
0.0002,-0.0005,05:56:18
0.0003,0.0,05:56:19
0.0002,0.0001,05:56:20
0.0,-0.0001,05:56:21
0.0003,0.0,05:56:22
0.0003,0.0001,05:56:23
-0.0007,-0.0006,05:56:24
0.0002,-0.0003,05:56:25
0.1961,-0.0836,05:56:26
0.4503,-0.3165,05:56:27
0.2996,-0.18,05:56:28
0.1715,-0.0213,05:56:29
0.1563,0.0061,05:56:30
0.1568,0.0057,05:56:31
0.1562,0.0058,05:56:32
0.1557,0.0056,05:56:33
0.1559,0.006,05:56:34
0.1561,0.0068,05:56:35
0.1555,0.0065,05:56:36
0.1555,0.0075,05:56:37
0.1546,0.0078,05:56:38
0.1542,0.0075,05:56:39
0.1549,0.0081,05:56:40
0.1538,0.0084,05:56:41
0.1536,0.0085,05:56:42
0.1546,0.0092,05:56:43
0.1538,0.0094,05:56:44
0.1545,0.0095,05:56:45
0.1547,0.0093,05:56:46
