Mapname,DilsRoom
last_location
Who is creating the Map,Diljendrajith
GPS_LAT,0.0
GPS_LONG,0.0
calling number,
call duration,0.0
Time-based Trigger,1
Distance-based Trigger,0
X,Y,Timestamp
-0.0004,0.0001,10:56:10
-0.0003,0.0001,10:56:11
-0.0006,0.0001,10:56:12
-0.0004,-0.0,10:56:13
-0.0002,0.0001,10:56:15
-0.0002,0.0001,10:56:16
-0.0003,0.0,10:56:17
-0.0002,0.0,10:56:18
-0.0002,-0.0002,10:56:19
-0.0003,0.0,10:56:20
-0.0003,0.0,10:56:21
-0.0002,0.0001,10:56:22
-0.0001,0.0001,10:56:23
-0.0004,-0.0,10:56:24
-0.0003,0.0001,10:56:25
-0.0002,0.0001,10:56:26
-0.0001,-0.0001,10:56:27
-0.0005,-0.0002,10:56:28
-0.0002,0.0,10:56:29
-0.0004,-0.0001,10:56:30
-0.0002,0.0001,10:56:31
-0.0004,0.0,10:56:32
-0.0004,0.0,10:56:33
-0.0003,-0.0,10:56:34
-0.0005,-0.0001,10:56:35
-0.0001,0.0002,10:56:36
-0.0002,0.0001,10:56:37
-0.0004,-0.0,10:56:38
-0.0003,0.0001,10:56:39
-0.0004,-0.0001,10:56:40
-0.0002,0.0,10:56:41
-0.0003,0.0,10:56:42
-0.0002,0.0002,10:56:43
-0.0002,-0.0003,10:56:44
-0.0002,0.0001,10:56:45
-0.0004,0.0,10:56:46
-0.0001,0.0001,10:56:47
-0.0003,0.0001,10:56:48
-0.0004,-0.0,10:56:49
-0.0004,0.0002,10:56:50
-0.0003,-0.0,10:56:51
-0.0002,0.0001,10:56:52
-0.0002,0.0002,10:56:53
-0.0002,0.0,10:56:54
-0.0001,0.0002,10:56:55
-0.0002,0.0001,10:56:56
-0.0,0.0001,10:56:57
-0.0004,0.0,10:56:58
-0.0004,-0.0001,10:56:59
-0.0003,0.0,10:57:00
-0.0003,0.0,10:57:01
-0.0004,0.0,10:57:02
-0.0004,-0.0001,10:57:03
-0.0002,0.0001,10:57:04
-0.0003,-0.0,10:57:05
-0.0002,0.0001,10:57:06
-0.0002,0.0001,10:57:07
-0.0003,0.0001,10:57:08
-0.0003,0.0001,10:57:10
-0.0003,0.0,10:57:11
-0.0002,0.0,10:57:12
-0.0003,0.0001,10:57:13
-0.0005,-0.0,10:57:14
-0.0002,0.0002,10:57:15
-0.0002,0.0001,10:57:16
-0.0002,0.0002,10:57:17
-0.0003,0.0001,10:57:19
-0.0001,0.0001,10:57:20
-0.0004,-0.0,10:57:21
-0.0005,-0.0,10:57:22
-0.0004,0.0001,10:57:23
-0.0002,0.0001,10:57:24
-0.0002,0.0,10:57:25
-0.0003,0.0001,10:57:26
-0.0001,0.0001,10:57:27
-0.0005,-0.0,10:57:28
-0.0002,0.0001,10:57:29
-0.0005,0.0,10:57:30
-0.0005,-0.0,10:57:31
-0.0002,0.0001,10:57:32
-0.0003,0.0,10:57:33
-0.0002,0.0,10:57:34
-0.0004,0.0,10:57:35
-0.0003,0.0,10:57:36
-0.0005,0.0001,10:57:37
-0.0006,-0.0,10:57:38
-0.0004,-0.0,10:57:39
-0.0002,0.0001,10:57:40
-0.0002,0.0001,10:57:41
-0.0002,0.0001,10:57:42
-0.0004,0.0003,10:57:43
-0.0004,-0.0003,10:57:44
-0.0005,0.0,10:57:45
-0.0001,0.0001,10:57:46
-0.0003,0.0,10:57:47
-0.0005,0.0002,10:57:48
