Mapname,chri_room
last_location
Who is creating the Map,chris
GPS_LAT,0.0
GPS_LONG,0.0
calling number,
call duration,0.0
Time-based Trigger,0
Distance-based Trigger,1
X,Y,Timestamp
-0.4045,-0.2972,10:26:55
-0.7454,-0.6641,10:26:56
-1.235,-0.7722,10:26:57
-1.7347,-0.7311,10:26:59
-2.2086,-0.5717,10:27:00
-2.6939,-0.4499,10:27:02
-3.1459,-0.232,10:27:03
-3.5706,0.0338,10:27:04
-3.9044,0.4068,10:27:05
-4.2291,0.7895,10:27:05
-4.4619,1.2324,10:27:06
-4.7636,1.6339,10:27:07
-5.0639,2.0377,10:27:07
-5.2817,2.4881,10:27:08
-5.2299,2.9895,10:27:09
-4.8376,3.3026,10:27:10
-4.3362,3.28,10:27:11
-3.9409,2.9725,10:27:11
-3.7338,2.5148,10:27:12
-3.2964,2.2718,10:27:13
-2.8069,2.3843,10:27:13
-2.3318,2.5456,10:27:14
-1.88,2.7656,10:27:15
-1.4684,3.0588,10:27:16
-1.7637,2.6532,10:27:17
-2.036,2.2277,10:27:18
-2.4752,1.9825,10:27:19
-2.8598,1.6607,10:27:19
-3.2367,1.3272,10:27:20
-3.5284,0.9187,10:27:21
-3.6095,0.4244,10:27:21
-3.4425,-0.048,10:27:22
-3.1057,-0.4222,10:27:22
-2.6482,-0.6254,10:27:23
-2.1536,-0.7142,10:27:24
-1.6524,-0.7516,10:27:24
